Date,Region,thermal_actual,thermal_est,nuclear_actual,nuclear_est,hydro_actual,hydro_est
2017-09-01,Northern,624.23,484.21,30.36,35.57,273.27,320.81
2017-09-01,Western,1106.89,1024.33,25.17,3.81,72.0,21.53
2017-09-01,Southern,576.66,578.55,62.73,49.8,111.57,64.78
2017-09-01,Eastern,441.02,429.39,nan,nan,85.94,69.36
2017-09-01,NorthEastern,29.11,15.91,nan,nan,24.64,21.21
2017-09-02,Northern,624.23,507.42,30.36,35.69,273.27,317.19
2017-09-02,Western,1106.89,1050.91,25.17,3.83,72.0,23.97
2017-09-02,Southern,576.66,562.79,62.73,52.76,111.57,59.49
2017-09-02,Eastern,441.02,425.75,nan,nan,85.94,74.18
2017-09-02,NorthEastern,29.11,16.5,nan,nan,24.64,20.81
2017-09-03,Northern,624.23,492.69,30.36,35.65,273.27,316.69
2017-09-03,Western,1106.89,1066.73,25.17,3.8,72.0,13.94
2017-09-03,Southern,572.16,530.68,62.73,53.12,111.57,47.53
2017-09-03,Eastern,445.38,427.61,nan,nan,85.94,71.05
2017-09-03,NorthEastern,29.11,15.52,nan,nan,24.64,23.84
2017-09-04,Northern,624.23,568.34,30.36,35.62,273.27,297.47
2017-09-04,Western,1106.89,1115.43,25.17,3.81,72.0,37.38
2017-09-04,Southern,572.16,562.81,62.73,53.19,111.57,66.2
2017-09-04,Eastern,445.38,450.85,nan,nan,85.94,75.21
2017-09-04,NorthEastern,29.11,16.85,nan,nan,24.64,24.1
2017-09-05,Northern,628.58,597.08,30.36,35.72,273.27,290.23
2017-09-05,Western,1106.89,1131.78,25.17,3.83,72.0,28.78
2017-09-05,Southern,576.35,575.06,62.73,53.16,111.57,58.0
2017-09-05,Eastern,449.92,459.09,nan,nan,85.94,70.29
2017-09-05,NorthEastern,29.11,16.64,nan,nan,24.64,22.86
2017-09-06,Northern,628.58,628.93,30.36,35.86,273.27,296.1
2017-09-06,Western,1124.57,1171.82,25.17,3.84,72.0,40.94
2017-09-06,Southern,576.35,549.1,62.73,53.41,111.57,58.7
2017-09-06,Eastern,449.92,464.82,nan,nan,85.94,76.43
2017-09-06,NorthEastern,29.11,16.44,nan,nan,24.64,27.8
2017-09-07,Northern,628.48,651.03,30.36,35.86,273.27,298.57
2017-09-07,Western,1124.57,1180.3,25.17,3.82,72.0,48.25
2017-09-07,Southern,585.98,565.52,62.73,53.41,111.57,55.52
2017-09-07,Eastern,449.92,461.96,nan,nan,85.94,75.34
2017-09-07,NorthEastern,29.11,20.71,nan,nan,24.64,24.12
2017-09-08,Northern,628.48,689.88,30.36,35.68,273.27,289.16
2017-09-08,Western,1124.57,1189.75,25.17,3.83,72.0,35.86
2017-09-08,Southern,590.63,549.88,62.73,53.65,111.57,66.92
2017-09-08,Eastern,455.66,454.88,nan,nan,85.94,81.48
2017-09-08,NorthEastern,29.11,20.85,nan,nan,24.64,24.32
2017-09-09,Northern,631.16,717.43,30.36,35.58,273.27,278.05
2017-09-09,Western,1128.66,1204.61,25.17,3.87,72.0,38.57
2017-09-09,Southern,589.74,549.44,62.73,53.78,111.57,72.25
2017-09-09,Eastern,455.66,455.25,nan,nan,85.94,80.46
2017-09-09,NorthEastern,29.11,18.92,nan,nan,24.64,24.94
2017-09-10,Northern,620.05,729.84,30.36,35.72,273.27,275.4
2017-09-10,Western,1131.56,1218.51,25.17,3.84,72.0,33.9
2017-09-10,Southern,589.74,548.38,62.73,54.52,111.57,51.99
2017-09-10,Eastern,455.66,432.59,nan,nan,85.94,72.65
2017-09-10,NorthEastern,29.11,23.01,nan,nan,24.64,26.7
2017-09-11,Northern,623.3,733.92,30.36,35.66,273.27,283.93
2017-09-11,Western,1131.56,1203.65,25.17,3.82,72.0,54.72
2017-09-11,Southern,589.74,574.95,62.73,54.55,111.57,83.2
2017-09-11,Eastern,455.66,435.21,nan,nan,85.94,77.93
2017-09-11,NorthEastern,29.11,23.32,nan,nan,24.64,22.78
2017-09-12,Northern,623.3,739.87,30.36,34.56,273.27,271.18
2017-09-12,Western,1131.56,1194.99,25.17,3.81,72.0,74.08
2017-09-12,Southern,589.74,585.91,62.73,54.68,111.57,89.81
2017-09-12,Eastern,455.66,440.93,nan,nan,85.94,71.55
2017-09-12,NorthEastern,29.11,25.41,nan,nan,24.64,24.12
2017-09-13,Northern,628.08,753.8,30.36,30.69,273.27,263.43
2017-09-13,Western,1131.56,1196.4,25.17,3.89,72.0,61.8
2017-09-13,Southern,589.74,602.26,62.73,54.85,111.57,82.27
2017-09-13,Eastern,455.66,450.83,nan,nan,85.94,72.06
2017-09-13,NorthEastern,29.11,27.89,nan,nan,24.64,25.06
2017-09-14,Northern,628.08,720.86,30.36,30.71,273.27,257.44
2017-09-14,Western,1131.56,1209.96,25.17,3.86,72.0,62.05
2017-09-14,Southern,595.15,589.35,62.73,49.3,111.57,57.32
2017-09-14,Eastern,455.66,450.78,nan,nan,85.94,77.8
2017-09-14,NorthEastern,29.11,29.45,nan,nan,24.64,24.85
2017-09-15,Northern,628.08,703.6,30.36,30.66,273.27,260.56
2017-09-15,Western,1131.56,1243.93,25.17,3.84,72.0,41.27
2017-09-15,Southern,593.08,593.62,62.73,45.82,111.57,67.95
2017-09-15,Eastern,484.74,438.75,nan,nan,85.94,83.76
2017-09-15,NorthEastern,29.11,28.63,nan,nan,24.64,20.8
2017-09-16,Northern,628.08,728.47,30.36,30.65,273.27,246.99
2017-09-16,Western,1131.56,1228.99,25.17,3.83,72.0,17.06
2017-09-16,Southern,604.96,573.85,62.73,48.14,111.57,48.77
2017-09-16,Eastern,486.07,443.23,nan,nan,85.94,79.07
2017-09-16,NorthEastern,29.11,29.85,nan,nan,24.64,19.61
2017-09-17,Northern,628.08,682.88,30.36,30.79,273.27,242.68
2017-09-17,Western,1131.56,1164.03,25.17,3.87,72.0,12.37
2017-09-17,Southern,596.08,494.17,62.73,55.03,111.57,43.19
2017-09-17,Eastern,486.07,421.62,nan,nan,85.94,72.32
2017-09-17,NorthEastern,29.11,28.72,nan,nan,24.64,19.98
2017-09-18,Northern,628.08,701.28,30.36,28.65,273.27,244.07
2017-09-18,Western,1131.56,1172.61,25.17,3.85,72.0,15.09
2017-09-18,Southern,596.08,480.53,62.73,55.2,111.57,53.84
2017-09-18,Eastern,486.07,390.63,nan,nan,85.94,67.06
2017-09-18,NorthEastern,29.11,28.67,nan,nan,24.64,20.88
2017-09-19,Northern,628.08,704.14,30.36,26.21,273.27,240.35
2017-09-19,Western,1131.56,1171.83,25.17,3.85,72.0,15.72
2017-09-19,Southern,596.08,472.32,62.73,55.17,111.57,58.74
2017-09-19,Eastern,486.07,417.92,nan,nan,85.94,69.41
2017-09-19,NorthEastern,29.11,30.77,nan,nan,24.64,20.24
2017-09-20,Northern,624.13,719.08,30.36,26.15,273.27,238.72
