Date,period,state,cases,death
2020-06-05,pre_mask,California,3593,66
2020-06-06,pre_mask,California,2637,76
2020-06-07,pre_mask,California,2850,27
2020-06-08,pre_mask,California,2290,26
2020-06-09,pre_mask,California,2958,96
2020-06-10,pre_mask,California,2894,94
2020-06-11,pre_mask,California,3570,72
2020-06-12,pre_mask,California,3576,45
2020-06-13,pre_mask,California,3149,73
2020-06-14,pre_mask,California,2519,30
2020-06-15,pre_mask,California,2709,31
2020-06-16,pre_mask,California,3469,82
2020-06-17,pre_mask,California,4250,81
2020-06-18,pre_mask,California,3754,76
2020-06-19,incuation,California,3708,66
2020-06-20,incuation,California,4011,70
2020-06-21,incuation,California,3953,22
2020-06-22,incuation,California,5813,44
2020-06-23,incuation,California,6419,76
2020-06-24,post_mask,California,4850,91
2020-06-25,post_mask,California,5524,82
2020-06-26,post_mask,California,5614,62
2020-06-27,post_mask,California,4426,30
2020-06-28,post_mask,California,5502,35
2020-06-29,post_mask,California,7040,42
2020-06-30,post_mask,California,8158,104
2020-07-01,post_mask,California,7611,85
2020-07-02,post_mask,California,8434,95
2020-07-03,post_mask,California,8100,52
2020-07-04,post_mask,California,8878,14
2020-07-05,post_mask,California,6411,40
2020-07-06,post_mask,California,6282,83
2020-07-07,post_mask,California,9897,111
2020-04-07,pre_mask,Connecticut,875,71
2020-04-08,pre_mask,Connecticut,1000,58
2020-04-09,pre_mask,Connecticut,1003,45
2020-04-10,pre_mask,Connecticut,754,68
2020-04-11,pre_mask,Connecticut,972,46
2020-04-12,pre_mask,Connecticut,525,60
2020-04-13,pre_mask,Connecticut,1346,48
2020-04-14,pre_mask,Connecticut,608,69
2020-04-15,pre_mask,Connecticut,766,197
2020-04-16,pre_mask,Connecticut,1129,103
2020-04-17,pre_mask,Connecticut,925,65
2020-04-18,pre_mask,Connecticut,741,50
2020-04-19,pre_mask,Connecticut,412,41
2020-04-20,pre_mask,Connecticut,1853,204
2020-04-21,incuation,Connecticut,545,92
2020-04-22,incuation,Connecticut,2109,121
2020-04-23,incuation,Connecticut,631,95
2020-04-24,incuation,Connecticut,821,125
2020-04-25,incuation,Connecticut,661,98
2020-04-26,post_mask,Connecticut,687,63
2020-04-27,post_mask,Connecticut,728,87
2020-04-28,post_mask,Connecticut,315,77
2020-04-29,post_mask,Connecticut,455,79
2020-04-30,post_mask,Connecticut,933,89
2020-05-01,post_mask,Connecticut,1064,82
2020-05-02,post_mask,Connecticut,523,97
2020-05-03,post_mask,Connecticut,0,0
2020-05-04,post_mask,Connecticut,686,120
2020-05-05,post_mask,Connecticut,648,77
2020-05-06,post_mask,Connecticut,374,85
2020-05-07,post_mask,Connecticut,789,79
2020-05-08,post_mask,Connecticut,627,77
2020-05-09,post_mask,Connecticut,573,58
2020-04-15,pre_mask,Delaware,88,3
2020-04-16,pre_mask,Delaware,61,6
2020-04-17,pre_mask,Delaware,248,9
2020-04-18,pre_mask,Delaware,215,6
2020-04-19,pre_mask,Delaware,0,0
2020-04-20,pre_mask,Delaware,207,5
2020-04-21,pre_mask,Delaware,186,10
2020-04-22,pre_mask,Delaware,269,7
2020-04-23,pre_mask,Delaware,108,3
2020-04-24,pre_mask,Delaware,134,8
2020-04-25,pre_mask,Delaware,134,12
2020-04-26,pre_mask,Delaware,458,8
2020-04-27,pre_mask,Delaware,128,5
2020-04-28,pre_mask,Delaware,413,12
2020-04-29,incuation,Delaware,80,7
2020-04-30,incuation,Delaware,79,8
2020-05-01,incuation,Delaware,184,7
2020-05-02,incuation,Delaware,120,9
2020-05-03,incuation,Delaware,170,9
2020-05-04,post_mask,Delaware,80,5
2020-05-05,post_mask,Delaware,83,5
2020-05-06,post_mask,Delaware,407,6
2020-05-07,post_mask,Delaware,161,9
2020-05-08,post_mask,Delaware,144,11
2020-05-09,post_mask,Delaware,194,8
2020-05-10,post_mask,Delaware,170,3
2020-05-11,post_mask,Delaware,118,1
2020-05-12,post_mask,Delaware,176,12
2020-05-13,post_mask,Delaware,211,10
2020-05-14,post_mask,Delaware,271,13
2020-05-15,post_mask,Delaware,150,11
2020-05-16,post_mask,Delaware,174,15
2020-05-17,post_mask,Delaware,123,4
2020-04-07,pre_mask,Hawaii,23,0
2020-04-08,pre_mask,Hawaii,25,0
2020-04-09,pre_mask,Hawaii,7,1
2020-04-10,pre_mask,Hawaii,23,2
2020-04-11,pre_mask,Hawaii,21,0
2020-04-12,pre_mask,Hawaii,13,1
2020-04-13,pre_mask,Hawaii,5,0
2020-04-14,pre_mask,Hawaii,9,0
2020-04-15,pre_mask,Hawaii,13,0
2020-04-16,pre_mask,Hawaii,11,0
2020-04-17,pre_mask,Hawaii,12,0
2020-04-18,pre_mask,Hawaii,21,0
2020-04-19,pre_mask,Hawaii,6,1
2020-04-20,pre_mask,Hawaii,4,0
2020-04-21,incuation,Hawaii,2,2
2020-04-22,incuation,Hawaii,6,0
2020-04-23,incuation,Hawaii,4,0
2020-04-24,incuation,Hawaii,5,1
2020-04-25,incuation,Hawaii,2,1
2020-04-26,post_mask,Hawaii,2,0
2020-04-27,post_mask,Hawaii,1,2
2020-04-28,post_mask,Hawaii,2,0
2020-04-29,post_mask,Hawaii,3,0
2020-04-30,post_mask,Hawaii,4,0
2020-05-01,post_mask,Hawaii,1,0
2020-05-02,post_mask,Hawaii,1,0
2020-05-03,post_mask,Hawaii,0,1
2020-05-04,post_mask,Hawaii,1,0
2020-05-05,post_mask,Hawaii,3,0
2020-05-06,post_mask,Hawaii,1,0
2020-05-07,post_mask,Hawaii,3,0
2020-05-08,post_mask,Hawaii,0,0
2020-05-09,post_mask,Hawaii,1,0
2020-04-18,pre_mask,Illinois,1585,130
2020-04-19,pre_mask,Illinois,1197,30
2020-04-20,pre_mask,Illinois,1151,57
2020-04-21,pre_mask,Illinois,1551,120
2020-04-22,pre_mask,Illinois,2049,98
2020-04-23,pre_mask,Illinois,1827,119
2020-04-24,pre_mask,Illinois,2723,108
2020-04-25,pre_mask,Illinois,2119,80
2020-04-26,pre_mask,Illinois,2126,59
2020-04-27,pre_mask,Illinois,1980,49
2020-04-28,pre_mask,Illinois,2219,140
2020-04-29,pre_mask,Illinois,2253,89
2020-04-30,pre_mask,Illinois,2563,140
2020-05-01,pre_mask,Illinois,3137,103
2020-05-02,incuation,Illinois,2450,112
2020-05-03,incuation,Illinois,2994,56
2020-05-04,incuation,Illinois,2341,41
2020-05-05,incuation,Illinois,2049,170
2020-05-06,incuation,Illinois,2275,134
2020-05-07,post_mask,Illinois,2638,162
2020-05-08,post_mask,Illinois,2886,123
2020-05-09,post_mask,Illinois,2320,100
2020-05-10,post_mask,Illinois,1654,64
2020-05-11,post_mask,Illinois,1461,54
2020-05-12,post_mask,Illinois,4045,137
2020-05-13,post_mask,Illinois,1706,198
2020-05-14,post_mask,Illinois,3207,130
2020-05-15,post_mask,Illinois,2447,130
2020-05-16,post_mask,Illinois,2141,74
2020-05-17,post_mask,Illinois,1691,49
2020-05-18,post_mask,Illinois,2418,59
2020-05-19,post_mask,Illinois,1520,142
2020-05-20,post_mask,Illinois,2415,148
2020-06-20,pre_mask,Kansas,50,3
2020-06-21,pre_mask,Kansas,40,1
2020-06-22,pre_mask,Kansas,318,2
2020-06-23,pre_mask,Kansas,83,1
2020-06-24,pre_mask,Kansas,451,1
2020-06-25,pre_mask,Kansas,97,1
2020-06-26,pre_mask,Kansas,522,3
2020-06-27,pre_mask,Kansas,38,3
2020-06-28,pre_mask,Kansas,249,3
2020-06-29,pre_mask,Kansas,552,4
2020-06-30,pre_mask,Kansas,61,0
2020-07-01,pre_mask,Kansas,513,4
2020-07-02,pre_mask,Kansas,84,2
2020-07-03,pre_mask,Kansas,789,1
2020-07-04,incuation,Kansas,150,1
2020-07-05,incuation,Kansas,124,3
2020-07-06,incuation,Kansas,793,1
2020-07-07,incuation,Kansas,75,2
2020-07-08,incuation,Kansas,650,1
2020-07-09,post_mask,Kansas,224,3
2020-07-10,post_mask,Kansas,768,0
2020-07-11,post_mask,Kansas,184,0
2020-07-12,post_mask,Kansas,312,6
2020-07-13,post_mask,Kansas,970,1
2020-07-14,post_mask,Kansas,82,2
2020-07-15,post_mask,Kansas,810,5
2020-07-16,post_mask,Kansas,116,1
2020-07-17,post_mask,Kansas,926,1
2020-07-18,post_mask,Kansas,39,2
2020-07-19,post_mask,Kansas,221,1
2020-07-20,post_mask,Kansas,1085,5
2020-07-21,post_mask,Kansas,62,1
2020-07-22,post_mask,Kansas,770,5
2020-04-28,pre_mask,Kentucky,229,15
2020-04-29,pre_mask,Kentucky,163,4
2020-04-30,pre_mask,Kentucky,170,5
2020-05-01,pre_mask,Kentucky,171,8
2020-05-02,pre_mask,Kentucky,2,4
2020-05-03,pre_mask,Kentucky,342,4
2020-05-04,pre_mask,Kentucky,147,11
2020-05-05,pre_mask,Kentucky,452,11
2020-05-06,pre_mask,Kentucky,124,8
2020-05-07,pre_mask,Kentucky,227,16
2020-05-08,pre_mask,Kentucky,125,2
2020-05-09,pre_mask,Kentucky,171,8
2020-05-10,pre_mask,Kentucky,17,0
2020-05-11,pre_mask,Kentucky,224,13
2020-05-12,incuation,Kentucky,293,8
2020-05-13,incuation,Kentucky,99,1
2020-05-14,incuation,Kentucky,295,7
2020-05-15,incuation,Kentucky,181,2
2020-05-16,incuation,Kentucky,195,3
2020-05-17,post_mask,Kentucky,20,0
2020-05-18,post_mask,Kentucky,248,8
2020-05-19,post_mask,Kentucky,164,15
2020-05-20,post_mask,Kentucky,131,12
2020-05-21,post_mask,Kentucky,139,12
2020-05-22,post_mask,Kentucky,213,5
2020-05-23,post_mask,Kentucky,124,1
2020-05-24,post_mask,Kentucky,30,0
2020-05-25,post_mask,Kentucky,57,4
2020-05-26,post_mask,Kentucky,276,4
2020-05-27,post_mask,Kentucky,138,13
2020-05-28,post_mask,Kentucky,197,4
2020-05-29,post_mask,Kentucky,178,10
2020-05-30,post_mask,Kentucky,199,7
2020-04-18,pre_mask,Maine,20,3
2020-04-19,pre_mask,Maine,20,2
2020-04-20,pre_mask,Maine,8,1
2020-04-21,pre_mask,Maine,13,1
2020-04-22,pre_mask,Maine,19,3
2020-04-23,pre_mask,Maine,30,5
2020-04-24,pre_mask,Maine,28,3
2020-04-25,pre_mask,Maine,25,3
2020-04-26,pre_mask,Maine,25,0
2020-04-27,pre_mask,Maine,8,1
2020-04-28,pre_mask,Maine,17,0
2020-04-29,pre_mask,Maine,16,1
2020-04-30,pre_mask,Maine,39,1
2020-05-01,pre_mask,Maine,28,2
2020-05-02,incuation,Maine,29,1
2020-05-03,incuation,Maine,33,1
2020-05-04,incuation,Maine,20,0
2020-05-05,incuation,Maine,21,4
2020-05-06,incuation,Maine,28,1
2020-05-07,post_mask,Maine,76,0
2020-05-08,post_mask,Maine,44,1
2020-05-09,post_mask,Maine,34,1
